,State,ZIP_Code,Population,Male,Female,Median Age,Race,Poverty Count,Poverty Rate,Household Income,Per Capita Income,Unemployment Count,Unemployment Rate,Total housing units,Median year structure built,Median Value ($) for Housing Units,White alone race,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Some other race alone,Lat,Lng,City,county
1460,California,95616,49093,23241,25852,23.3,49093,14485,29.50522478,46170,28216.0,1490,3.035055914,17974,1978,575600,30148,1612,47,11856,2596,38.5474428,-121.77653090000001,Davis,California
1461,California,95618,27926,13792,14134,29.2,27926,6139,21.98309819,81382,42013.0,713,2.553176252,10230,1989,591500,17983,406,20,6369,1321,38.518893,-121.65112579999999,Davis,California
1463,California,95620,21685,10696,10989,34.4,21685,2949,13.59926216,72583,27274.0,950,4.380908462,6959,1985,310700,14419,435,80,900,4188,38.3897438,-121.7651362,Dixon,California
1465,California,95623,3911,1897,2014,45.9,3911,432,11.04576835,58546,29069.0,134,3.4262337,1569,1985,294500,3694,9,11,38,100,38.6100779,-120.86137849999999,El Dorado,California
1468,California,95626,5871,3044,2827,40.9,5871,614,10.458184300000001,56667,25711.0,155,2.640095384,2069,1980,245300,5042,57,65,191,412,38.7190893,-121.4570447,Elverta,California
1471,California,95629,676,305,371,57.6,676,138,20.41420118,49514,27430.0,0,0.0,425,1979,287500,672,0,0,0,4,38.535815299999996,-120.7234992,Fiddletown,California
1474,California,95632,30594,14453,16141,34.6,30594,5197,16.98699091,64668,25802.0,1383,4.520494215,9829,1992,258700,22871,441,473,1318,3390,38.2855625,-121.28552490000001,Galt,California
1476,California,95634,3206,1825,1381,44.4,3206,281,8.76481597,49583,24584.0,158,4.928259513,1512,1978,251700,3111,15,6,15,37,38.9167124,-120.6890055,Georgetown,California
1482,California,95640,10509,7220,3289,42.5,10509,765,7.279474736,62229,18349.0,335,3.187743839,3128,1993,243200,8107,827,157,106,847,38.3168224,-120.91878270000001,Ione,California
1483,California,95641,1843,908,935,50.1,1843,401,21.75800326,41571,25201.0,123,6.673901248,1089,1974,216400,1506,9,42,27,173,38.1659627,-121.5598345,Isleton,California
1485,California,95645,2091,1091,1000,34.0,2091,452,21.61645146,38917,18235.0,120,5.7388809179999996,800,1966,168400,1586,32,1,85,335,38.8933855,-121.7879244,Knights Landing,California
1486,California,95646,64,57,7,27.9,64,28,43.75,-666666666,17661.0,0,0.0,713,1991,-666666666,55,0,0,5,0,38.6982463,-120.0723009,Kirkwood,California
1499,California,95664,1357,806,551,45.1,1357,15,1.105379514,69333,30787.0,66,4.86366986,494,1989,424000,1305,0,0,0,0,38.809388,-121.0564425,Pilot Hill,California
1501,California,95666,5170,2551,2619,59.1,5170,705,13.63636364,49336,30254.0,211,4.0812379110000006,3747,1979,218800,4638,19,121,70,128,38.4615033,-120.5509358,Pioneer,California
1503,California,95668,794,412,382,44.3,794,102,12.84634761,68333,30786.0,29,3.652392947,352,1966,397000,677,0,1,54,23,38.824921999999994,-121.5141615,Pleasant Grove,California
1504,California,95669,2493,1202,1291,44.8,2493,269,10.790212599999998,68144,31042.0,97,3.890894505,1247,1982,328300,2316,16,16,0,46,38.4829024,-120.8728615,Plymouth,California
