,City,tweet_created_at,hashtags,text,screen_name,user_id,user_created_at,user_friends_count,user_statuses_count,tweet_id,compound,neg,pos,neu
5350,Santa Barbara,Tue Dec 19 23:39:30 +0000 2017,[],"Thank you to the 8,529 personnel who have helped battle the Thomas Fire.

And a special thank you to the Arizona St… https://t.co/XmJiExTEek",montecitoinn,57397976,Thu Jul 16 17:56:50 +0000 2009,494,274,943264558600167424,0.4019,0.168,0.259,0.572
5351,Santa Barbara,Tue Dec 19 23:39:07 +0000 2017,[],California Wildfires: Thomas Fire Could Become Largest in State History https://t.co/JTp0Dm4MA3 via @buzzflash,itsstevenhudson,852219630873661440,Wed Apr 12 17:59:28 +0000 2017,1779,18127,943264462429216768,-0.34,0.167,0.0,0.833
5352,Santa Barbara,Tue Dec 19 23:38:42 +0000 2017,"[{'text': 'ThomasFire', 'indices': [42, 53]}]","RT @KEYTNC3: We will broadcast the 4 p.m. #ThomasFire community meeting today, 12/19, live. Watch it on KEYT NewsChannel 3, online, or our…",RichFM39517086,1529421373,Wed Jun 19 01:58:01 +0000 2013,5001,334404,943264357974249472,0.0,0.0,0.0,1.0
5353,Santa Barbara,Tue Dec 19 23:38:15 +0000 2017,[],RT @avmartinez: Cal/OSHA issues advisory requiring employers that expose workers to harmful wildlife smoke to provide N95 (or ones offering…,CAUSEOxnard,3063833930,Fri Mar 06 01:55:48 +0000 2015,92,194,943264245747085312,-0.1531,0.078,0.0,0.922
5354,Santa Barbara,Tue Dec 19 23:38:07 +0000 2017,[],India &amp; I took her friend Lindsey for a hike in Malibu today &amp; handed her a “snack” bag full of the cash we’ve rais… https://t.co/0dq03XyPZY,Lyvonnek,2895169366,Thu Nov 27 21:01:03 +0000 2014,26,6,943264208895930368,0.4939,0.0,0.127,0.873
5355,Santa Barbara,Tue Dec 19 23:37:55 +0000 2017,"[{'text': 'ThomasFire', 'indices': [29, 40]}]","We will broadcast the 4 p.m. #ThomasFire community meeting today, 12/19, live. Watch it on KEYT NewsChannel 3, onli… https://t.co/5qhut0enbU",oflores,32547678,Fri Apr 17 20:06:44 +0000 2009,577,19783,943264159394881536,0.0,0.0,0.0,1.0
5356,Santa Barbara,Tue Dec 19 23:37:54 +0000 2017,"[{'text': 'ThomasFire', 'indices': [29, 40]}]","We will broadcast the 4 p.m. #ThomasFire community meeting today, 12/19, live. Watch it on KEYT NewsChannel 3, onli… https://t.co/nnk83CeeLC",KEYTNC3,582280139,Thu May 17 00:06:52 +0000 2012,1844,40250,943264156681211904,0.0,0.0,0.0,1.0
5357,Santa Barbara,Tue Dec 19 23:37:54 +0000 2017,"[{'text': 'ThomasFire', 'indices': [29, 40]}]","We will broadcast the 4 p.m. #ThomasFire community meeting today, 12/19, live. Watch it on KEYT NewsChannel 3, onli… https://t.co/bltI8snb9h",KCOY,95516820,Tue Dec 08 22:29:27 +0000 2009,969,38089,943264154311364608,0.0,0.0,0.0,1.0
5358,Santa Barbara,Tue Dec 19 23:37:12 +0000 2017,"[{'text': 'ThomasFire', 'indices': [17, 28]}]","RT @EliasonMike: #ThomasFire- With the latest Star Wars movie playing, The Arlington Theatre’s marquee in Santa Barbara has an extra specia…",999KTYD,758384917503840257,Wed Jul 27 19:33:49 +0000 2016,88,2938,943263978733502464,-0.4215,0.148,0.074,0.779
5359,Santa Barbara,Tue Dec 19 23:36:59 +0000 2017,[],"RT @foodandwater: OUTRAGEOUS: While over 100,000 ppl are being evacuated from California amid fires, workers are being forced to stay to pi…",cleanfoodearth,72601359,Tue Sep 08 16:52:10 +0000 2009,989,15256,943263924769533953,-0.7739,0.252,0.0,0.748
