,State,ZIP_Code,Population,Male,Female,Median Age,Race,Poverty Count,Poverty Rate,Household Income,Per Capita Income,Unemployment Count,Unemployment Rate,Total housing units,Median year structure built,Median Value ($) for Housing Units,White alone race,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Some other race alone,Lat,Lng,City,county
23,California,90020,40170.0,19672.0,20498.0,34.2,40170.0,7826.0,19.48220064724919,40353.0,27106.0,1799.0,4.478466517301468,18065.0,1968.0,566500.0,11471.0,2139.0,169.0,18847.0,6240.0,34.0655627,-118.3096648,Central LA,Los Angeles
24,California,90021,2954.0,1962.0,992.0,43.7,2954.0,1459.0,49.3906567366283,12370.0,23213.0,226.0,7.650643195666892,2060.0,1939.0,556500.0,1002.0,702.0,30.0,89.0,1017.0,34.0309258,-118.2380432,Los Angeles,Los Angeles County
25,California,90022,67191.0,32482.0,34709.0,31.9,67191.0,15659.0,23.30520456608772,40650.0,14423.0,4398.0,6.545519489217306,18247.0,1948.0,326400.0,40440.0,282.0,478.0,671.0,24134.0,34.0238187,-118.153228,Los Angeles,Los Angeles County
26,California,90023,46611.0,23348.0,23263.0,30.6,46611.0,13071.0,28.042736693055286,37472.0,12875.0,2277.0,4.885112956169144,11796.0,1943.0,324900.0,29390.0,423.0,208.0,402.0,15498.0,34.0224471,-118.2000277,Los Angeles,Los Angeles County
27,California,90024,49737.0,23337.0,26400.0,23.0,49737.0,12553.0,25.238755855801514,57210.0,43727.0,2356.0,4.736916179102077,19330.0,1972.0,1091100.0,30284.0,911.0,69.0,14007.0,1773.0,34.0631451,-118.4367551,Los Angeles,Los Angeles County
28,California,90025,46520.0,23487.0,23033.0,34.1,46520.0,5871.0,12.620378331900257,72653.0,49219.0,1897.0,4.077815993121238,23075.0,1973.0,729100.0,29304.0,1364.0,791.0,9491.0,2764.0,34.0448583,-118.4484367,Los Angeles,Los Angeles County
29,California,90026,67557.0,34197.0,33360.0,34.5,67557.0,15000.0,22.203472623118255,51568.0,30685.0,3778.0,5.592314638009385,26958.0,1941.0,647200.0,37810.0,2464.0,1173.0,11439.0,12128.0,34.0796167,-118.2585096,Los Angeles,Los Angeles County
30,California,90027,46043.0,22574.0,23469.0,38.2,46043.0,7539.0,16.373824468431682,52922.0,41744.0,2848.0,6.185522229220512,23448.0,1957.0,884800.0,30711.0,1332.0,76.0,6095.0,5858.0,34.1220545,-118.2935891,Los Angeles,Los Angeles County
31,California,90028,31122.0,17415.0,13707.0,34.1,31122.0,8369.0,26.890945311997942,35729.0,28361.0,2328.0,7.480239059186427,18400.0,1964.0,654200.0,17317.0,2605.0,241.0,2603.0,7168.0,34.1012181,-118.325739,Central LA,Los Angeles
32,California,90029,40242.0,20548.0,19694.0,35.4,40242.0,11062.0,27.488693404900353,35132.0,19918.0,2390.0,5.939068634759704,15111.0,1956.0,584100.0,15565.0,975.0,122.0,6936.0,15652.0,34.0880507,-118.2965121,Los Angeles,Los Angeles County
33,California,90031,38940.0,19477.0,19463.0,35.6,38940.0,10800.0,27.73497688751926,36801.0,17069.0,1898.0,4.874165382639959,12281.0,1944.0,396000.0,14550.0,299.0,318.0,9191.0,13488.0,34.081032,-118.2117257,Los Angeles,Los Angeles County
34,California,90032,47285.0,23061.0,24224.0,33.7,47285.0,10833.0,22.910013746431215,45218.0,18613.0,3083.0,6.5200380670402875,14022.0,1953.0,382000.0,20817.0,826.0,440.0,4532.0,19597.0,34.0795169,-118.1766294,Los Angeles,Los Angeles County
35,California,90033,49156.0,24168.0,24988.0,29.5,49156.0,18025.0,36.66897225160713,29499.0,12212.0,1978.0,4.023923834323378,13971.0,1948.0,327800.0,32622.0,776.0,264.0,2479.0,12315.0,34.0502898,-118.2117257,Los Angeles,Los Angeles County
36,California,90034,57443.0,29239.0,28204.0,33.4,57443.0,8524.0,14.839057848649967,60965.0,39185.0,2325.0,4.0474905558553695,27488.0,1970.0,715000.0,34131.0,5513.0,223.0,11090.0,3424.0,34.0324632,-118.395863,Los Angeles,Los Angeles County
37,California,90035,30582.0,14337.0,16245.0,36.4,30582.0,3449.0,11.277875874697534,74667.0,50335.0,1132.0,3.7015237721535543,14163.0,1954.0,927800.0,22712.0,2254.0,16.0,2289.0,1815.0,34.050751,-118.3841777,Los Angeles,Los Angeles County
38,California,90036,37931.0,17751.0,20180.0,34.3,37931.0,5072.0,13.371648519680473,71917.0,52023.0,1575.0,4.152276502069547,20176.0,1945.0,1039300.0,24798.0,1932.0,105.0,7201.0,1933.0,34.0664817,-118.3520389,Central LA,Los Angeles
39,California,90037,61451.0,30331.0,31120.0,29.7,61451.0,24624.0,40.07095083887976,27129.0,11330.0,3002.0,4.885193080665896,18050.0,1940.0,300100.0,17240.0,12000.0,570.0,646.0,29745.0,34.002058,-118.2818967,South Los Angeles,Los Angeles
40,California,90038,28155.0,14811.0,13344.0,32.2,28155.0,8524.0,30.275261942816552,35739.0,23709.0,1727.0,6.133901616053987,12821.0,1964.0,600300.0,11694.0,1626.0,118.0,1442.0,12072.0,34.0895186,-118.3315838,Central LA,Los Angeles
41,California,90039,28436.0,14073.0,14363.0,39.3,28436.0,2636.0,9.269939513293009,77361.0,44638.0,1248.0,4.388802925868617,12478.0,1943.0,681900.0,16211.0,664.0,92.0,5236.0,4979.0,34.1103407,-118.2585096,Los Angeles,Los Angeles County
42,California,90040,12812.0,6338.0,6474.0,34.0,12812.0,2204.0,17.202622541367468,41897.0,15633.0,573.0,4.472369653449891,3701.0,1955.0,346000.0,9678.0,113.0,125.0,115.0,2472.0,33.9930471,-118.153228,Los Angeles,Los Angeles County
43,California,90041,28405.0,13644.0,14761.0,39.7,28405.0,3018.0,10.624889984157718,68457.0,33467.0,1234.0,4.34430558000352,10021.0,1944.0,611400.0,15139.0,394.0,205.0,7805.0,3065.0,34.13224690000001,-118.2117257,Northeast Los Angeles,Los Angeles
44,California,90042,63109.0,30523.0,32586.0,34.7,63109.0,13124.0,20.795766055554676,51444.0,23314.0,3397.0,5.382750479329414,21525.0,1949.0,451100.0,29517.0,1843.0,985.0,7912.0,20441.0,34.1175895,-118.188329,Northeast Los Angeles,Los Angeles
45,California,90043,44328.0,20632.0,23696.0,40.0,44328.0,8983.0,20.264843890994406,41449.0,26687.0,3266.0,7.367803645551344,18360.0,1946.0,394300.0,8293.0,26977.0,175.0,642.0,6745.0,33.9903827,-118.3286614,South Los Angeles,Los Angeles
46,California,90044,90155.0,42399.0,47756.0,30.7,90155.0,32168.0,35.68077200377128,30288.0,13515.0,4525.0,5.019133714158948,29458.0,1952.0,300300.0,21737.0,31838.0,361.0,472.0,34059.0,33.9478802,-118.2935891,Los Angeles,Los Angeles County
47,California,90045,41145.0,19800.0,21345.0,34.7,41145.0,4180.0,10.159193097581722,81058.0,44571.0,1768.0,4.296998420221169,16632.0,1957.0,774000.0,24793.0,5366.0,89.0,5558.0,2419.0,33.9516114,-118.3875775,Los Angeles,Los Angeles County
48,California,90046,50923.0,27476.0,23447.0,39.2,50923.0,7274.0,14.284311607721461,61157.0,61916.0,2846.0,5.588830194607545,31586.0,1961.0,929600.0,40364.0,2180.0,107.0,2913.0,2534.0,34.1147313,-118.3637264,Central LA,Los Angeles
