,City,tweet_created_at,hashtags,text,screen_name,user_id,user_created_at,user_friends_count,user_statuses_count,tweet_id
54,Crescenta,Wed Dec 20 01:30:10 +0000 2017,[],"Since the start, Santa Ana and sundowner winds have played a huge role in the Thomas Fire's race up the list of wor… https://t.co/WMiYZcpva8",vcstar,15292065,Tue Jul 01 21:17:47 +0000 2008,315,75808,943292409458446336
55,Crescenta,Wed Dec 20 01:29:35 +0000 2017,[],"RT @stuartpalley: Red Flag warning in place for Santa Barbara county over the Thomas Fire starting tomorrow evening, then probably over LA…",retrofacd,782358235571302400,Sat Oct 01 23:15:13 +0000 2016,660,185,943292261294469120
56,Crescenta,Wed Dec 20 01:28:25 +0000 2017,[],"RT @foodandwater: OUTRAGEOUS: While over 100,000 ppl are being evacuated from California amid fires, workers are being forced to stay to pi…",bendicoot,23468714,Mon Mar 09 17:44:06 +0000 2009,1764,49463,943291968632782849
57,Crescenta,Wed Dec 20 01:27:42 +0000 2017,[],RT @DrHarryLime: Thomas Fire set to become California's largest-ever wildfire https://t.co/iD8rp4S0JJ via @canberratimes,oldguy537,199472986,Wed Oct 06 23:33:14 +0000 2010,1444,30571,943291790102224896
58,Crescenta,Wed Dec 20 01:27:20 +0000 2017,[],"RT @ABC: ""Monster"" Thomas fire in Southern California now 50% contained, after having burned at least 271,000 acres. https://t.co/PnVKw1UsT…",TrumpsCloset,717726650079817728,Wed Apr 06 14:52:22 +0000 2016,3758,13308,943291696686780416
59,Crescenta,Wed Dec 20 01:27:19 +0000 2017,[],Thomas Fire set to become California's largest-ever wildfire https://t.co/iD8rp4S0JJ via @canberratimes,DrHarryLime,249742970,Wed Feb 09 17:48:48 +0000 2011,2386,52359,943291692467105792
60,Crescenta,Wed Dec 20 01:26:05 +0000 2017,[],"Red flags and sundowners: How the winds have driven the Thomas fire
 https://t.co/lEARgBydya",summedupusa,742350855953735680,Mon Jun 13 13:40:11 +0000 2016,7,223619,943291381212000256
61,Crescenta,Wed Dec 20 01:25:43 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",taximanF100,885811180278661120,Fri Jul 14 10:40:17 +0000 2017,969,26124,943291290015350784
62,Crescenta,Wed Dec 20 01:25:23 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",MonicaOP,37212840,Sat May 02 15:09:39 +0000 2009,840,92752,943291205168885760
63,Crescenta,Wed Dec 20 01:24:49 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",kat_pep,923746996422369280,Fri Oct 27 03:03:41 +0000 2017,41,1418,943291062784876545
64,Crescenta,Wed Dec 20 01:24:37 +0000 2017,[],RT @IngrahamAngle: Many firefighters say they’ve never encountered a situation like this in their careers. Many are on three-week shifts...…,senestrocrate,1872850166,Mon Sep 16 19:59:30 +0000 2013,240,2591,943291012025344000
65,Crescenta,Wed Dec 20 01:23:41 +0000 2017,[],"RT @IBTlocal2010: VICTORY FOR UCSB WORKERS' SAFETY
UCSB Chancellor announced that all campus employees will receive two days of administrat…",TroyMcKinley2,790585904,Thu Aug 30 01:55:10 +0000 2012,371,3817,943290778364858368
66,Crescenta,Wed Dec 20 01:23:12 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",CherylMillerBan,390044312,Thu Oct 13 11:27:24 +0000 2011,394,4237,943290656197365761
67,Crescenta,Wed Dec 20 01:23:08 +0000 2017,[],"Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather condit… https://t.co/zdFzuCgxSL",BotBrody15,2967808004,Fri Jan 09 02:08:44 +0000 2015,35,47654,943290640842002436
68,Crescenta,Wed Dec 20 01:23:05 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",odhiamboZenah,832507900950171648,Fri Feb 17 08:32:05 +0000 2017,1513,23401,943290624723300353
69,Crescenta,Wed Dec 20 01:23:04 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",SeSqoXcYwmVCVfe,4837517600,Sun Jan 31 01:08:52 +0000 2016,73,3501,943290621669675008
70,Crescenta,Wed Dec 20 01:21:28 +0000 2017,[],"RT @stuartpalley: Red Flag warning in place for Santa Barbara county over the Thomas Fire starting tomorrow evening, then probably over LA…",ma527681,45011686,Fri Jun 05 22:13:16 +0000 2009,292,36553,943290221176619008
71,Crescenta,Wed Dec 20 01:21:23 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",KCGreen17,34341129,Wed Apr 22 17:48:46 +0000 2009,1762,40325,943290200553172992
72,Crescenta,Wed Dec 20 01:21:10 +0000 2017,[],RT @MDR2417: San Marino's Engine 91 returned safely today from the Thomas Fire as part of LACO Area C Strike Team 1207.  Very proud of thei…,ma527681,45011686,Fri Jun 05 22:13:16 +0000 2009,292,36553,943290143259029504
73,Crescenta,Wed Dec 20 01:21:05 +0000 2017,[],"Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather condit… https://t.co/eZcsK7C36t",dthiywmh,2859703273,Fri Oct 17 07:02:07 +0000 2014,78,9868,943290124636483590
74,Crescenta,Wed Dec 20 01:20:57 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",yaya17017,898755222,Tue Oct 23 00:27:44 +0000 2012,121,68317,943290089668452352
75,Crescenta,Wed Dec 20 01:20:15 +0000 2017,[],Firefighter killed in Thomas fire honored by Burbank and Glendale fire departments - Los Angeles Times… https://t.co/vTBOUyrIo1,firefighternews,19796149,Fri Jan 30 23:52:37 +0000 2009,5542,41203,943289914988171265
76,Crescenta,Wed Dec 20 01:20:06 +0000 2017,"[{'text': 'SantaMaria', 'indices': [106, 117]}]","March of Thomas fire slows with decreasing winds, but full containment weeks away https://t.co/lIp7mDtA7d #SantaMaria",californianewsn,59942584,Sat Jul 25 01:24:20 +0000 2009,10,394859,943289874517450752
77,Crescenta,Wed Dec 20 01:20:02 +0000 2017,[],RT @FOXLA: So awesome! Actor Rob Lowe opened his home and served a hearty dinner to fire crews battling the Thomas Fire in Santa Barbara.…,cherylfromcinci,701158106,Tue Jul 17 14:33:59 +0000 2012,533,10374,943289859875143681
78,Crescenta,Wed Dec 20 01:19:49 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",LANewscat,124018005,Thu Mar 18 00:16:21 +0000 2010,787,9484,943289802434023424
79,Crescenta,Wed Dec 20 01:19:30 +0000 2017,"[{'text': 'California', 'indices': [25, 36]}, {'text': 'ThomasFire', 'indices': [39, 50]}]","RT @USAloveGOD: Southern #California's #ThomasFire forces new evacuations, threatens wealthy enclave

Grows to 3rd largest in CA history ~…",WillGrace9,781555354207416321,Thu Sep 29 18:04:52 +0000 2016,10,68876,943289724822786048
80,Crescenta,Wed Dec 20 01:19:18 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",scarfizal,266102331,Mon Mar 14 17:19:35 +0000 2011,7084,956074,943289672977002497
81,Crescenta,Wed Dec 20 01:19:14 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",VeraDelaCruz13,934944056257298432,Mon Nov 27 00:36:48 +0000 2017,133,386,943289659332837376
82,Crescenta,Wed Dec 20 01:19:05 +0000 2017,[],"March of Thomas fire slows with decreasing winds, but full containment weeks away
 https://t.co/ykm8mYYDNZ https://t.co/FYPrCnv6I9",SantaMariaTimes,18472450,Tue Dec 30 07:12:07 +0000 2008,738,28993,943289618887258112
83,Crescenta,Wed Dec 20 01:18:56 +0000 2017,[],California Wildfires: Thomas Fire Could Become Largest in State History https://t.co/Rho5xjzmra,redot2005,34553489,Thu Apr 23 06:31:44 +0000 2009,18510,287647,943289581830623235
84,Crescenta,Wed Dec 20 01:18:49 +0000 2017,[],"RT @stuartpalley: Red Flag warning in place for Santa Barbara county over the Thomas Fire starting tomorrow evening, then probably over LA…",CalDisasters,170554164,Sun Jul 25 04:16:32 +0000 2010,793,34333,943289551967076353
85,Crescenta,Wed Dec 20 01:18:40 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",sjmn777,848434886,Thu Sep 27 01:16:55 +0000 2012,2128,69210,943289515438784519
86,Crescenta,Wed Dec 20 01:18:24 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",dinmusau,420476047,Thu Nov 24 17:40:00 +0000 2011,629,9959,943289449311539200
87,Crescenta,Wed Dec 20 01:18:20 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",wasal2002,528994820,Mon Mar 19 01:17:53 +0000 2012,3219,9511,943289432563621891
88,Crescenta,Wed Dec 20 01:18:12 +0000 2017,[],San Marino's Engine 91 returned safely today from the Thomas Fire as part of LACO Area C Strike Team 1207.  Very pr… https://t.co/5cd7xTBmbI,MDR2417,29448897,Tue Apr 07 13:39:17 +0000 2009,1049,360,943289398703013889
89,Crescenta,Wed Dec 20 01:18:09 +0000 2017,[],"Red Flag warning in place for Santa Barbara county over the Thomas Fire starting tomorrow evening, then probably ov… https://t.co/FRvW0XELeb",stuartpalley,48419856,Thu Jun 18 17:21:20 +0000 2009,1288,24552,943289384459124737
90,Crescenta,Wed Dec 20 01:18:07 +0000 2017,"[{'text': 'ThomasFire', 'indices': [48, 59]}]","RT @KEYTNC3: PROGRAMMING NOTE: Watch the 6 p.m. #ThomasFire press briefing for Dec. 19 live on KEYT NewsChannel 3, online on our website, o…",randibaker01,2590278009,Sat Jun 07 20:43:50 +0000 2014,1544,148614,943289375596728321
91,Crescenta,Wed Dec 20 01:17:31 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",VgPharis,555624513,Tue Apr 17 00:38:09 +0000 2012,183,2992,943289226048630785
92,Crescenta,Wed Dec 20 01:17:06 +0000 2017,[],"Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather condit… https://t.co/Y7fcvGTvRW",zhuobufan89,2799452004,Tue Sep 09 08:34:40 +0000 2014,115,8759,943289122319491073
93,Crescenta,Wed Dec 20 01:16:58 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",spiralwrap,361668793,Thu Aug 25 04:16:29 +0000 2011,210,9696,943289087775055872
94,Crescenta,Wed Dec 20 01:16:49 +0000 2017,[],"RT @IBTlocal2010: VICTORY FOR UCSB WORKERS' SAFETY
UCSB Chancellor announced that all campus employees will receive two days of administrat…",cedef13,752671663192477697,Tue Jul 12 01:11:23 +0000 2016,614,8169,943289048856227840
95,Crescenta,Wed Dec 20 01:16:41 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",Steve37564930,804935169811415040,Sat Dec 03 06:27:54 +0000 2016,471,1851,943289017243639808
96,Crescenta,Wed Dec 20 01:16:39 +0000 2017,[],"CNN : Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather… https://t.co/Qjq1Cxe2hX",sujanbspi,861122486431227905,Sun May 07 07:36:14 +0000 2017,2598,10598,943289009438167040
97,Crescenta,Wed Dec 20 01:16:30 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",GraeMebr0WnHiLl,934729051922501632,Sun Nov 26 10:22:27 +0000 2017,133,1403,943288971601121280
98,Crescenta,Wed Dec 20 01:16:21 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",Alex_B1971,624168449,Sun Jul 01 23:10:38 +0000 2012,4973,114261,943288930639728640
99,Crescenta,Wed Dec 20 01:16:12 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",Der_Geller,740758148458414080,Thu Jun 09 04:11:20 +0000 2016,53,8511,943288892794564608
100,Crescenta,Wed Dec 20 01:16:12 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",Der_Geller,740758148458414080,Thu Jun 09 04:11:20 +0000 2016,53,8511,943288892794564608
101,Crescenta,Wed Dec 20 01:16:03 +0000 2017,"[{'text': 'D19', 'indices': [65, 69]}]","""Monster"" Thomas fire continues to scorch Southern California... #D19 https://t.co/NqZN4mAHpP https://t.co/H03oNysOhB",Info24US,2690281202,Tue Jul 29 14:44:10 +0000 2014,18,1399239,943288855557533696
102,Crescenta,Wed Dec 20 01:15:59 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",cpj1966,2470295263,Wed Apr 30 03:43:10 +0000 2014,208,4921,943288838272643072
103,Crescenta,Wed Dec 20 01:15:37 +0000 2017,[],Little girl gives savings to fund for fallen firefighters - While her father Johnny battled the monstrous Thomas Fi… https://t.co/1i6JjRIBhW,HaitiNewsNet,24481831,Sun Mar 15 03:44:56 +0000 2009,3997,920939,943288748082638848
104,Crescenta,Wed Dec 20 01:15:20 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",oliviatwells,4161345627,Wed Nov 11 04:30:54 +0000 2015,353,4381,943288674468401152
105,Crescenta,Wed Dec 20 01:15:19 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",LelessAmanda,839894660961157121,Thu Mar 09 17:44:26 +0000 2017,267,1488,943288673495285761
106,Crescenta,Wed Dec 20 01:14:56 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",pendulum5884,4319456714,Sun Nov 22 04:52:03 +0000 2015,46,371839,943288577370099712
107,Crescenta,Wed Dec 20 01:14:39 +0000 2017,[],RT @meeghaantroy: My dad is finally coming home from the Thomas fire and gets to be home for Christmas I’m so happy!!,thecitylia,4914480499,Tue Feb 16 05:38:11 +0000 2016,576,2310,943288506012585984
108,Crescenta,Wed Dec 20 01:14:27 +0000 2017,[],"Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather condit… https://t.co/bXP21P7lCI",nnnana88,860470352673034240,Fri May 05 12:24:53 +0000 2017,238,9547,943288453885808640
109,Crescenta,Wed Dec 20 01:14:24 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",MarthaSandovalR,463822658,Sat Jan 14 14:31:48 +0000 2012,1357,34054,943288443215396864
110,Crescenta,Wed Dec 20 01:14:13 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",SaludHEALTHinfo,84932964,Sat Oct 24 20:36:42 +0000 2009,5464,201299,943288393013764096
111,Crescenta,Wed Dec 20 01:14:11 +0000 2017,[],"Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather condit… https://t.co/CGkTAoiAPx",junzinan,531921549,Wed Mar 21 01:59:41 +0000 2012,261,9695,943288386533711882
112,Crescenta,Wed Dec 20 01:14:04 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",MoireGarner,924391309,Sun Nov 04 01:17:55 +0000 2012,1615,79910,943288358603599872
113,Crescenta,Wed Dec 20 01:14:03 +0000 2017,[],‘Defensible Space’ Couldn’t Keep Thomas Fire From Burning Ventura County https://t.co/mls1h4M6UT https://t.co/9jAnmwzgOY,CalReportTweets,21700140,Mon Feb 23 22:09:47 +0000 2009,146,4497,943288354740641792
114,Crescenta,Wed Dec 20 01:13:47 +0000 2017,"[{'text': 'wildfire', 'indices': [38, 47]}]","RT @ucanr: Most houses that burn in a #wildfire ignite not from a wall of fire, but from windblown embers that travel up to 4 miles. If a h…",SaludHEALTHinfo,84932964,Sat Oct 24 20:36:42 +0000 2009,5464,201299,943288284276391936
115,Crescenta,Wed Dec 20 01:13:25 +0000 2017,[],"Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather condit… https://t.co/Ye8qDJF7yt",JakeM_1998,3016858651,Wed Feb 11 14:05:56 +0000 2015,1926,464133,943288195713847297
116,Crescenta,Wed Dec 20 01:13:18 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",LeftsidefromNY,18427283,Sun Dec 28 14:01:48 +0000 2008,785,5306,943288165200261120
117,Crescenta,Wed Dec 20 01:13:09 +0000 2017,[],"Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather condit… https://t.co/gUk3BLGW3f",bingboomm,4786624872,Wed Jan 20 03:01:17 +0000 2016,74,9899,943288127229190144
118,Crescenta,Wed Dec 20 01:12:48 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",lc54,24977528,Tue Mar 17 23:13:22 +0000 2009,2338,11998,943288036971786240
119,Crescenta,Wed Dec 20 01:12:47 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",liliama65187657,1206560874,Fri Feb 22 02:25:33 +0000 2013,2098,68763,943288034816155648
120,Crescenta,Wed Dec 20 01:12:31 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",filmnvinyl,18746988,Thu Jan 08 00:51:01 +0000 2009,1297,8613,943287965253378048
121,Crescenta,Wed Dec 20 01:12:27 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",ikateufel,82605645,Thu Oct 15 12:30:48 +0000 2009,21,38380,943287950904889349
122,Crescenta,Wed Dec 20 01:12:25 +0000 2017,[],RT @RickyShucks: Speaking of fake caring. Everyone that was on a high horse talking down to celebrities for not “using their platform” to s…,Ronnnnnnn__,45233817,Sat Jun 06 22:58:47 +0000 2009,185,1527,943287941983588352
123,Crescenta,Wed Dec 20 01:12:16 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",SherryB10686271,4580725452,Thu Dec 17 03:20:05 +0000 2015,47,1722,943287903853076480
124,Crescenta,Wed Dec 20 01:12:16 +0000 2017,[],"Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather condit… https://t.co/CH3SJMtfMf",willwphoto,129929483,Mon Apr 05 20:53:02 +0000 2010,1939,110636,943287902276145153
125,Crescenta,Wed Dec 20 01:12:14 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",babetotheleft,2920114878,Sat Dec 06 02:59:51 +0000 2014,187,6013,943287894382276609
